business_id,category,weighted_rating
IDtLPgUrqorrpqSLdfMhZQ,Food,3.99568673966533
IDtLPgUrqorrpqSLdfMhZQ,Salad,3.99568673966533
IDtLPgUrqorrpqSLdfMhZQ,Coffee & Tea,3.99568673966533
IDtLPgUrqorrpqSLdfMhZQ,Breakfast & Brunch,3.99568673966533
IDtLPgUrqorrpqSLdfMhZQ,Sandwiches,3.99568673966533
IDtLPgUrqorrpqSLdfMhZQ,Bakeries,3.99568673966533
SZU9c8V2GuREDN5KgyHFJw,Live/Raw Food,3.9992870791741786
SZU9c8V2GuREDN5KgyHFJw,Seafood,3.9992870791741786
SZU9c8V2GuREDN5KgyHFJw,Beer Bar,3.9992870791741786
SZU9c8V2GuREDN5KgyHFJw,Beer,3.9992870791741786
SZU9c8V2GuREDN5KgyHFJw,Wine & Spirits,3.9992870791741786
SZU9c8V2GuREDN5KgyHFJw,Bars,3.9992870791741786
SZU9c8V2GuREDN5KgyHFJw,Food,3.9992870791741786
SZU9c8V2GuREDN5KgyHFJw,Nightlife,3.9992870791741786
ifjluUv4VASwmFqEp8cWlQ,Pizza,3.976743366573875
UFpCraqzFBAhtZqmxmiWsA,Themed Cafes,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Cafes,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Pets,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Arts & Entertainment,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Women's Clothing,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Coffee & Tea,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Shopping,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Pet Adoption,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Fashion,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Pet Sitting,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Accessories,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Pet Stores,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Pet Services,4.446658802591006
UFpCraqzFBAhtZqmxmiWsA,Food,4.446658802591006
Hqz96v1ymucUKNzIWfEKXw,Delis,3.5519339417644504
Hqz96v1ymucUKNzIWfEKXw,Sandwiches,3.5519339417644504
Hqz96v1ymucUKNzIWfEKXw,Fast Food,3.5519339417644504
JWFpjvCc_nkNDVtMPx1ZGg,Food,4.194500414839397
JWFpjvCc_nkNDVtMPx1ZGg,Food Delivery Services,4.194500414839397
JWFpjvCc_nkNDVtMPx1ZGg,Burgers,4.194500414839397
JWFpjvCc_nkNDVtMPx1ZGg,Pizza,4.194500414839397
JWFpjvCc_nkNDVtMPx1ZGg,Caterers,4.194500414839397
JWFpjvCc_nkNDVtMPx1ZGg,Event Planning & Services,4.194500414839397
9L-MR0arflwFMF9szEBOOg,Wineries,4.104647595674514
9L-MR0arflwFMF9szEBOOg,Food,4.104647595674514
9L-MR0arflwFMF9szEBOOg,Arts & Entertainment,4.104647595674514
9L-MR0arflwFMF9szEBOOg,Festivals,4.104647595674514
9L-MR0arflwFMF9szEBOOg,Food Stands,4.104647595674514
aYMpjij5ShtEoZueMrQPRw,Breweries,3.8852672750977835
aYMpjij5ShtEoZueMrQPRw,Shopping,3.8852672750977835
aYMpjij5ShtEoZueMrQPRw,Food Court,3.8852672750977835
